title,body,created_at,updated_at,closed_at,state,labels,number,url,milestone,locked,assignee,assignees
JcsCacheService AgeOff unit test failure,"The JCS Cache Service unit test to check AgeOff fail with the following output:
```
Error:  Tests run: 13, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 6.139 s <<< FAILURE! - in uk.gov.gchq.gaffer.cache.impl.JcsCacheServiceTest
Error:  uk.gov.gchq.gaffer.cache.impl.JcsCacheServiceTest.shouldAgeOffValues  Time elapsed: 3.01 s  <<< FAILURE!
org.opentest4j.AssertionFailedError: expected: <null> but was: <1>
	at uk.gov.gchq.gaffer.cache.impl.JcsCacheServiceTest.shouldAgeOffValues(JcsCacheServiceTest.java:219)
Error:  Failures: 
Error:    JcsCacheServiceTest.shouldAgeOffValues:219 expected: <null> but was: <1>
```
The tests configure the ageOff cache with an element MaxLife of 2 seconds and therefore elements should not be retrievable after that period.
",2021-01-05 14:54:01+00:00,2021-01-06 16:17:58+00:00,2021-01-06 16:17:58+00:00,closed,[],2370,https://github.com/gchq/Gaffer/issues/2370,"Milestone(title=""v1.14.0"", number=102)",False,"NamedUser(login=""m29827"")","[NamedUser(login=""m29827"")]"
ChainedIterable Duplicated Classes.,"ChainedIterable appears to have Duplicate classes.
`uk.gov.gchq.koryphe.util.IterableUtil.ChainedIterable` & `uk.gov.gchq.gaffer.commonutil.iterable.ChainedIterable`
Combine different constructors into the same class and remove the duplicate.
Possibly migrate into Korphe and delete Gaffer class.",2021-01-04 14:14:08+00:00,2021-01-05 13:31:41+00:00,,open,"[Label(name=""tech-def"")]",2369,https://github.com/gchq/Gaffer/issues/2369,,False,,[]
"Hadoop, Hbase, Spark, Kafka, Zookeeper Compatibility","Hello Team,
Is there any document for Hadoop, Hbase, Spark, Kafka, Zookeeper compatibility for Gaffer versions? Or which versions of the tools are supported by Gaffer?
Thank you.",2021-01-02 12:03:50+00:00,2021-01-05 12:23:11+00:00,2021-01-05 12:23:11+00:00,closed,"[Label(name=""question"")]",2368,https://github.com/gchq/Gaffer/issues/2368,,False,,[]
Is anyone using the Hbase Store?,"We are looking to do a number of version upgrades in Gaffer 2.0 including moving to Hadoop 3. HBase does not support Hadoop 3 out the box (it needs to be built from source using a profile). If someone is using the Hbase Store, we can take steps to include it in version 2. However, if no one is using it, we would benefit from removing support for the Hbase store until HBase releases a compatible version",2020-12-18 16:42:22+00:00,2021-04-20 16:25:38+00:00,,open,"[Label(name=""question"")]",2367,https://github.com/gchq/Gaffer/issues/2367,,False,,[]
Gh 801 map store implement visibility trait,,2020-12-17 18:11:49+00:00,2021-01-28 12:06:18+00:00,2021-01-28 12:06:18+00:00,closed,[],2366,https://github.com/gchq/Gaffer/pull/2366,,False,,[]
Gh 800 query aggregation for map store,,2020-12-15 12:33:43+00:00,2021-01-05 10:37:21+00:00,2021-01-05 10:37:20+00:00,closed,[],2365,https://github.com/gchq/Gaffer/pull/2365,,False,,[]
Change AssumeTrue typo to AssertTrue,"Why has AssumeTrue been used in OperationTest?
It is the last line in a test, there is then no further test to abort/skip if found false.
When found false the test does not fail, it just aborts.

If this is incorrect then the use of assumeTrue need to be reviewed in `OperationTest`, `JSONSerialisationTest` `HazelcastCacheServiceTest`",2020-12-14 14:33:21+00:00,2021-04-13 16:29:34+00:00,2021-04-13 16:29:34+00:00,closed,"[Label(name=""bug"")]",2364,https://github.com/gchq/Gaffer/issues/2364,"Milestone(title=""v1.17.0"", number=109)",False,"NamedUser(login=""t92549"")","[NamedUser(login=""t92549"")]"
Update jackson version,,2020-12-08 14:51:21+00:00,2020-12-08 16:05:35+00:00,2020-12-08 16:05:35+00:00,closed,[],2363,https://github.com/gchq/Gaffer/pull/2363,,False,,[]
Temporarily disabled intermittent test while fix is looked into,,2020-12-04 15:48:40+00:00,2020-12-11 09:45:18+00:00,2020-12-11 09:45:13+00:00,closed,[],2362,https://github.com/gchq/Gaffer/pull/2362,,False,,[]
Investigate intermittent RoadTrafficRestApiITs test failure,"When run with maven, the RoadTrafficRestApiITs.checkRoadJunctionsInSouthWestHeavilyUsedByBusesIn2000 test fails intermittently.

The error messages seem to indicate that the store is not returning correct number of expected elements:
```
[ERROR] Failures: 
[ERROR]   RoadTrafficRestApiITs>RoadTrafficTestQueries.checkRoadJunctionsInSouthWestHeavilyUsedByBusesIn2000:306 
expected: <[Junction,Bus Count, M32:2,1411, M5:LA Boundary,1067, M4:LA Boundary,1958]> 
but was: <[Junction,Bus Count, M5:LA Boundary,1060, M32:2,1411, M5:LA Boundary,1067, M4:LA Boundary,1958]>
```

This error only seems to happen when running using maven.

This could indicate something isn't right with the MiniAccumuloCluster but more investigation is needed.",2020-12-04 15:44:50+00:00,2020-12-04 16:05:38+00:00,,open,"[Label(name=""needs-elaboration""), Label(name=""possible-bug"")]",2361,https://github.com/gchq/Gaffer/issues/2361,,False,,[]
Gh 802 map store count all elements chain optimiser,,2020-12-03 15:14:02+00:00,2020-12-07 14:39:29+00:00,2020-12-07 14:39:29+00:00,closed,[],2360,https://github.com/gchq/Gaffer/pull/2360,,False,,[]
Updated Koryphe version to 1.12.0,,2020-12-02 14:45:24+00:00,2020-12-07 13:30:36+00:00,2020-12-02 17:19:12+00:00,closed,[],2359,https://github.com/gchq/Gaffer/pull/2359,,False,,[]
Refactor,,2020-12-01 14:35:25+00:00,2021-01-26 13:52:06+00:00,2021-01-19 10:27:25+00:00,closed,[],2358,https://github.com/gchq/Gaffer/pull/2358,,False,,[]
FederatedStore: Generic FederatedOperation,"What Graphs?
What Operation?
What Merge Function?",2020-12-01 14:24:00+00:00,2021-04-20 16:03:40+00:00,,open,"[Label(name=""federated-store"")]",2357,https://github.com/gchq/Gaffer/issues/2357,,False,"NamedUser(login=""GCHQDev404"")","[NamedUser(login=""GCHQDev404"")]"
FederatedStore: Change Schema - Add Property,,2020-12-01 14:22:21+00:00,2021-04-20 16:04:06+00:00,,open,"[Label(name=""federated-store"")]",2356,https://github.com/gchq/Gaffer/issues/2356,,False,"NamedUser(login=""GCHQDev404"")","[NamedUser(login=""GCHQDev404"")]"
FederatedStore: Change Schema - Remove property ,,2020-12-01 14:22:01+00:00,2021-04-20 16:05:00+00:00,,open,"[Label(name=""federated-store"")]",2355,https://github.com/gchq/Gaffer/issues/2355,,False,"NamedUser(login=""GCHQDev404"")","[NamedUser(login=""GCHQDev404"")]"
FederatedStore: Change Schema - Change Validator,"- It does not change the structure on disk.
- If you get your new validator wrong you are deleting a lot of data on query.
- focus on changing the age off.",2020-12-01 14:19:59+00:00,2021-04-20 16:05:34+00:00,,open,"[Label(name=""federated-store"")]",2354,https://github.com/gchq/Gaffer/issues/2354,,False,"NamedUser(login=""GCHQDev404"")","[NamedUser(login=""GCHQDev404"")]"
FederatedStore: Change Schema - Remove a Group,"""always ensured that there is no data of that group still present"" 
Examine what happens when you don't.",2020-12-01 14:17:47+00:00,2021-04-20 16:06:15+00:00,,open,"[Label(name=""federated-store"")]",2353,https://github.com/gchq/Gaffer/issues/2353,,False,"NamedUser(login=""GCHQDev404"")","[NamedUser(login=""GCHQDev404"")]"
FederatedStore: Change Schema - Add new Group ,"""Add a new group - assuming the vertex type is consistent this should be simple as there is no existing data to break""",2020-12-01 14:16:22+00:00,2021-04-20 16:06:36+00:00,,open,"[Label(name=""federated-store"")]",2352,https://github.com/gchq/Gaffer/issues/2352,,False,"NamedUser(login=""GCHQDev404"")","[NamedUser(login=""GCHQDev404"")]"
gh-2340 FederatedPredicates to use Equals and hashcode Builders,"

# Related Issue

- Resolve #2340",2020-12-01 14:09:44+00:00,2021-01-26 13:52:19+00:00,2021-01-19 09:36:05+00:00,closed,[],2351,https://github.com/gchq/Gaffer/pull/2351,,False,,[]
Gh 2008 remove view validation,"

# Related Issue

- Resolve #2008",2020-12-01 14:02:57+00:00,2021-01-26 13:52:13+00:00,2021-01-14 09:09:21+00:00,closed,[],2350,https://github.com/gchq/Gaffer/pull/2350,,False,,[]
gh-2325 Improve flink integration tests,,2020-12-01 10:49:24+00:00,2020-12-01 12:18:07+00:00,2020-12-01 12:18:07+00:00,closed,[],2349,https://github.com/gchq/Gaffer/pull/2349,,False,,[]
Accumulo Store with Kerberos ,"Hi,

I have an Accumulo cluster (version: 1.7.2-cdh5.5.0) with kerberos enabled and I would like to know how I can configure Gaffer to use my Accumulo cluster as the underlying store. 

I have read the [doc](https://gchq.github.io/gaffer-doc/stores/accumulo-store.html) on Accumulo store and looked at the `TheBasics.java` from `gaffer-doc` repo (master branch). I didn't find any instructions on whether specific settings are required for kerberos. 

I downloaded the iterators.jar and distributed it to all my tservers. Then I modified `TheBasics.java` with my Accumulo properties
```java
        final AccumuloProperties properties = new AccumuloProperties();
        properties.setStoreClass(AccumuloStore.class);
        properties.setInstance(""<my_instance>"");
        properties.setZookeepers(""<my_zk1>:2181,<my_zk2>:2181,<my_zk3>:2181"");
        properties.setUser(""myuser@EXAMPLE.COM"");
        properties.setPassword(""<my_password>"");
```
And I get the following Exception
```
Exception in thread ""main"" java.lang.IllegalArgumentException: Could not initialise the store with provided arguments.
	at uk.gov.gchq.gaffer.store.Store.createStore(Store.java:262)
	at uk.gov.gchq.gaffer.graph.Graph$Builder.updateStore(Graph.java:1066)
	at uk.gov.gchq.gaffer.graph.Graph$Builder.build(Graph.java:953)
	at uk.gov.gchq.gaffer.doc.user.walkthrough.TheBasics.run(TheBasics.java:121)
	at uk.gov.gchq.gaffer.doc.user.walkthrough.TheBasics.main(TheBasics.java:161)
Caused by: uk.gov.gchq.gaffer.store.StoreException: Failed to create accumulo connection
	at uk.gov.gchq.gaffer.accumulostore.utils.TableUtils.getConnector(TableUtils.java:219)
	at uk.gov.gchq.gaffer.accumulostore.AccumuloStore.getConnection(AccumuloStore.java:205)
	at uk.gov.gchq.gaffer.accumulostore.utils.TableUtils.ensureTableExists(TableUtils.java:76)
	at uk.gov.gchq.gaffer.accumulostore.AccumuloStore.initialise(AccumuloStore.java:160)
	at uk.gov.gchq.gaffer.store.Store.createStore(Store.java:260)
	... 4 more
Caused by: org.apache.accumulo.core.client.AccumuloException: java.lang.RuntimeException: Cannot use SASL if Hadoop security is not enabled
	at org.apache.accumulo.core.client.impl.ServerClient.execute(ServerClient.java:70)
	at org.apache.accumulo.core.client.impl.ConnectorImpl.<init>(ConnectorImpl.java:73)
	at org.apache.accumulo.core.client.ZooKeeperInstance.getConnector(ZooKeeperInstance.java:308)
	at uk.gov.gchq.gaffer.accumulostore.utils.TableUtils.getConnector(TableUtils.java:217)
	... 8 more
Caused by: java.lang.RuntimeException: Cannot use SASL if Hadoop security is not enabled
	at org.apache.accumulo.core.rpc.SaslConnectionParams.updatePrincipalFromUgi(SaslConnectionParams.java:194)
	at org.apache.accumulo.core.rpc.SaslConnectionParams.<init>(SaslConnectionParams.java:140)
	at org.apache.accumulo.core.client.impl.ClientContext$3.get(ClientContext.java:117)
	at org.apache.accumulo.core.client.impl.ClientContext$3.get(ClientContext.java:109)
	at com.google.common.base.Suppliers$ExpiringMemoizingSupplier.get(Suppliers.java:185)
	at org.apache.accumulo.core.client.impl.ClientContext.getSaslParams(ClientContext.java:182)
	at org.apache.accumulo.core.client.impl.ThriftTransportKey.<init>(ThriftTransportKey.java:44)
	at org.apache.accumulo.core.client.impl.ServerClient.getConnection(ServerClient.java:144)
	at org.apache.accumulo.core.client.impl.ServerClient.getConnection(ServerClient.java:124)
	at org.apache.accumulo.core.client.impl.ServerClient.getConnection(ServerClient.java:119)
	at org.apache.accumulo.core.client.impl.ServerClient.executeRaw(ServerClient.java:100)
	at org.apache.accumulo.core.client.impl.ServerClient.execute(ServerClient.java:64)
	... 11 more

```
Any suggestions?

",2020-12-01 00:33:23+00:00,2020-12-03 16:54:55+00:00,2020-12-03 16:54:55+00:00,closed,[],2348,https://github.com/gchq/Gaffer/issues/2348,,False,,[]
Gh 2325 improve flink tests using end of elements indicator,"Sharing this approach for stabilising the flink unit-tests, not ideal as it relies on adding code to make the tests predictable.",2020-11-30 09:11:36+00:00,2020-12-01 11:30:29+00:00,2020-12-01 11:29:30+00:00,closed,[],2347,https://github.com/gchq/Gaffer/pull/2347,,False,,[]
Gh 2345 rest api test failure,,2020-11-27 18:22:55+00:00,2020-11-30 10:11:33+00:00,2020-11-30 10:11:33+00:00,closed,[],2346,https://github.com/gchq/Gaffer/pull/2346,,False,,[]
